AnnouncementDate,ChangeDate,DataID,Return,Exposure
2002-08-30 00:00:00,2002-09-03 00:00:00,241.0,43.250457763671875,9980.850067138672
2002-11-15 00:00:00,2002-11-18 00:00:00,242.0,235.64956665039062,10044.3501663208
2002-12-04 00:00:00,2002-12-11 00:00:00,243.0,-128.4204216003418,10011.599670410156
2003-02-19 00:00:00,2003-02-21 00:00:00,244.0,-69.8597240447998,10054.779891967773
2003-03-11 00:00:00,2003-03-13 00:00:00,245.0,-338.40084075927734,10047.499656677246
2003-03-19 00:00:00,2003-03-20 00:00:00,246.0,-330.52028465270996,10042.950210571289
2003-03-24 00:00:00,2003-03-28 00:00:00,247.0,-178.80014038085938,9975.099754333496
2003-04-08 00:00:00,2003-04-15 00:00:00,248.0,-400.1397361755371,10073.040069580078
2003-07-15 00:00:00,2003-07-16 00:00:00,249.0,-227.7999267578125,10080.999755859375
2003-08-13 00:00:00,2003-08-19 00:00:00,250.0,-541.3600616455078,10009.09984588623
2003-09-25 00:00:00,2003-09-25 00:00:00,251.0,31.120391845703125,10044.000244140625
2003-11-06 00:00:00,2003-11-12 00:00:00,252.0,-342.3804931640625,10024.159942626953
2004-02-23 00:00:00,2004-02-26 00:00:00,253.0,153.03948974609375,10055.759704589844
2004-03-16 00:00:00,2004-03-24 17:15:00,254.0,107.23030853271484,9984.020027160645
2004-03-25 00:00:00,2004-03-31 00:00:00,255.0,-157.64455127716064,10096.905166625977
2004-03-29 00:00:00,2004-04-01 00:00:00,256.0,90.23067474365234,9994.700271606445
2004-04-19 00:00:00,2004-04-22 00:00:00,257.0,186.15996932983398,10039.040161132812
2004-04-19 00:00:00,2004-04-28 00:00:00,258.0,895.7796783447266,10039.040161132812
2004-04-26 00:00:00,2004-04-30 00:00:00,259.0,-240.1196746826172,10052.240295410156
2004-06-24 00:00:00,2004-06-30 00:00:00,260.0,34.84060287475586,10068.080322265625
2004-06-23 00:00:00,2004-06-30 00:00:00,261.0,72.360107421875,10076.0
2004-07-26 00:00:00,2004-08-02 00:00:00,262.0,597.1600341796875,10032.600280761719
2004-08-26 00:00:00,2004-08-31 00:00:00,263.0,46.5006103515625,10010.700302124023
2004-10-25 00:00:00,2004-10-26 00:00:00,264.0,-229.4405975341797,10019.09986114502
2004-10-26 00:00:00,2004-10-29 00:00:00,265.0,107.23982238769531,10024.199752807617
2004-11-10 00:00:00,2004-11-30 00:00:00,266.0,457.8201217651367,10077.480026245117
2004-11-29 00:00:00,2004-12-02 00:00:00,267.0,116.68988609313965,10030.0
2004-12-08 00:00:00,2004-12-17 00:00:00,268.0,-15.10009765625,10041.899948120117
2004-12-14 00:00:00,2004-12-17 00:00:00,269.0,465.32933235168457,10018.099746704102
2004-12-08 00:00:00,2004-12-17 00:00:00,270.0,152.49974060058594,10041.899948120117
2004-12-21 00:00:00,2004-12-28 00:00:00,271.0,-317.4006805419922,10111.91976928711
