secid,date,ticker,index_flag,exchange_d,class,issue_type,industry_group,low,high,open,close,volume,return,cfadj,shrout,cfret
207008,20150608,IGT,0,1,,0,820,17.955,18.48,18.44,18.01,842246,0.011798,1,198596,1
207008,20150609,IGT,0,1,,0,820,17.6,18.22,18.05,18.06,1000591,0.002776,1,198596,1
207008,20150610,IGT,0,1,,0,820,17.87,18.63,18.03,18.59,1648739,0.029347,1,198596,1
207008,20150611,IGT,0,1,,0,820,18.384,18.905,18.61,18.84,1173737,0.013448,1,198596,1
207008,20150612,IGT,0,1,,0,820,18.395,18.78,18.71,18.49,848084,-0.018578,1,198596,1
207008,20150615,IGT,0,1,,0,820,18.03,19.02,19.02,18.49,1454210,0,1,198596,1
207008,20150616,IGT,0,1,,0,820,18.08,18.49,18.4,18.27,1226456,-0.011898,1,198596,1
207008,20150617,IGT,0,1,,0,820,18.01,18.4,18.21,18.31,541940,0.002189,1,198596,1
207008,20150618,IGT,0,1,,0,820,18.04,18.41,18.36,18.21,876550,-0.005462,1,198596,1
207008,20150619,IGT,0,1,,0,820,17.84,18.18,18.09,17.87,846273,-0.018671,1,198596,1
207008,20150622,IGT,0,1,,0,820,18.17,18.52,18.24,18.42,1557594,0.030778,1,198596,1
207008,20150623,IGT,0,1,,0,820,18.18,18.56,18.19,18.43,1433964,0.000543,1,198596,1
207008,20150624,IGT,0,1,,0,820,17.935,18.8,18.49,17.99,1337112,-0.023874,1,198596,1
207008,20150625,IGT,0,1,,0,820,18.01,18.69,18.01,18.61,2662054,0.034464,1,198596,1
207008,20150626,IGT,0,1,,0,820,18.21,18.91,18.78,18.28,6330071,-0.017732,1,198596,1
207008,20150629,IGT,0,1,,0,820,17.67,18.24,18.2,17.91,1532698,-0.020241,1,198596,1
207008,20150630,IGT,0,1,,0,820,17.39,18.13,18.08,17.76,1963539,-0.008375,1,198596,1
207008,20150701,IGT,0,1,,0,820,17.48,18.64,18,17.48,2020593,-0.015766,1,198596,1
207008,20150702,IGT,0,1,,0,820,17,17.52,17.45,17.36,2178202,-0.006865,1,198596,1
207008,20150706,IGT,0,1,,0,820,16.98,17.86,17.26,17.55,2204960,0.010945,1,198596,1
207008,20150707,IGT,0,1,,0,820,17.12,17.65,17.6,17.23,1395070,-0.018234,1,198596,1
207008,20150708,IGT,0,1,,0,820,17.07,17.49,17.2,17.38,651569,0.008706,1,198596,1
207008,20150709,IGT,0,1,,0,820,17.42,17.76,17.43,17.55,894861,0.009781,1,198596,1
207008,20150710,IGT,0,1,,0,820,17.38,17.92,17.73,17.84,823750,0.016524,1,198596,1
207008,20150713,IGT,0,1,,0,820,17.88,18.225,17.92,18.16,743970,0.017937,1,198596,1
207008,20150714,IGT,0,1,,0,820,17.95,18.24,18.18,18.1,770315,-0.003304,1,198596,1
207008,20150715,IGT,0,1,,0,820,17.705,18.11,18.11,18.06,964046,-0.00221,1,198596,1
207008,20150716,IGT,0,1,,0,820,17.75,18.29,18.13,17.96,841519,-0.005537,1,198596,1
207008,20150717,IGT,0,1,,0,820,17.78,18.13,17.94,17.98,1486310,0.001114,1,198596,1
207008,20150720,IGT,0,1,,0,820,17.75,18.03,18.01,17.95,1025710,-0.001668,1,198596,1
207008,20150721,IGT,0,1,,0,820,17.76,18.21,17.92,18.21,778808,0.014485,1,198596,1
207008,20150722,IGT,0,1,,0,820,18.0628,18.47,18.11,18.45,579197,0.01318,1,198596,1
207008,20150723,IGT,0,1,,0,820,17.91,18.48,18.45,18.43,955456,-0.001084,1,198596,1
207008,20150724,IGT,0,1,,0,820,18.2715,18.56,18.38,18.53,942462,0.005426,1,198596,1
207008,20150727,IGT,0,1,,0,820,18.28,18.67,18.47,18.46,868812,-0.003778,1,198596,1
207008,20150728,IGT,0,1,,0,820,18.39,19.53,18.48,19.52,2313189,0.057422,1,198596,1
207008,20150729,IGT,0,1,,0,820,19.36,19.86,19.64,19.49,2056415,-0.001537,1,198596,1
207008,20150730,IGT,0,1,,0,820,19.17,19.81,19.56,19.49,1241550,0,1,198596,1
207008,20150731,IGT,0,1,,0,820,19.5,19.83,19.51,19.8,1268717,0.015906,1,198596,1
207008,20150803,IGT,0,1,,0,820,19.41,19.87,19.8,19.6,981315,-0.010101,1,198596,1
207008,20150804,IGT,0,1,,0,820,18.86,19.56,19.44,18.87,2432603,-0.037245,1,198596,1
207008,20150805,IGT,0,1,,0,820,18.76,19.39,19,18.89,2159391,0.00106,1,198596,1
207008,20150806,IGT,0,1,,0,820,18.5,19.11,18.88,18.7,740631,-0.010058,1,198596,1
207008,20150807,IGT,0,1,,0,820,18.56,18.96,18.73,18.75,910831,0.002674,1,198596,1
